record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,55829,Uttar Pradesh,HATHRAS (SC),ANOOP PRADHAN BALMIKI,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),WS/MP18220/2025-2026/224555,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-10-04,,,,,1060152.0,,,,Payment Success,JITENDRA KUMAR SINGH,,,
Works Sanctioned,Works Sanctioned.xlsx,28428,Gujarat,PANCHMAHAL,RAJPALSINH MAHENDRASINH JADAV,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),WS/MP18055/2025-2026/188047,Normal/Others,Construction of footpaths and pedestrian ways,PEWER BLOCK WORK IN BUTBHAVANI MANDIR FALIYA,2025-03-30,2025-08-06,,,,,200000.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,54175,Chhattisgarh,RAJNANDGAON,Santosh Pandey,RAJNANDGAON(DISTRICT COLLECTOR RAJNANDGAON_IDA),WS/MP428/2024-2025/157693,,Providing drains and gutters for public drainage,,,,,2024-12-13,,,,,150000.0,,,,Payment Success,gram panchayat khujji,,,
Works Recommended,Works Recommended (1).xlsx,17808,Tamil Nadu,CHENNAI CENTRAL,Thiru Dayanidhi Maran,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),,Normal/Others,Construction of community centers and community halls,"Construction of Community Hall in First Floor at Neval Hospital road in dn-58, u-14,  Zone-5.",2025-01-21,,,,,15000000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,55455,Gujarat,ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND(District Collector ANAND_IDA),WS/MP579/2025-2026/233116,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Pandoli game Baliyadev Mandir Vistarma Dinesh Ramana Ghar Pase C.C Road Nu Kam.,2025-09-13,2025-09-16,,,,50000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,16611,Tamil Nadu,KARUR,Smt S Jothimani,KARUR(DISTRICT COLLECTOR KARUR_IDA),WS/MP758/2025-2026/164777,Normal/Others,Construction of bus-sheds or bus-stops,"Construction of Bus shed in Tex Park near by, Thalapatti Panchayat,,Thanthoni Union",2025-01-10,2025-10-31,,,,798705.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,11580,Madhya Pradesh,BETUL(ST),Durga Das Uikey,HARDA(District Collector Harda_IDA),WS/MP444/2025-2026/200251,Normal/Others,Construction of bus-sheds or bus-stops,Yatri Prtikshalaya,,,2026-01-08,,,,,259942.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,58986,Chhattisgarh,KORBA,Jyotsna Charandas Mahant,Gaurela-Pendra-Marwahi(Collector GPM_IDA),WS/MP429/2024-2025/140548,,Construction of common work sheds/ common covered sitting area,,,,,2024-11-21,,,,,80000.0,,,,Payment Success,SAR AND SAC GRAM PANCHAYAT JOGISAR,,,
Works Completed,Works Completed.xlsx,666,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA(DISTRICT MAGISTRATE BANDA_IDA),WS/MP18206/2024-2025/137976,Normal/Others,Lighting of public spaces,2-gram panchayat miyan barauli me baijnath yadav ke chaurahe ke paas sarvjanik sthan par  himax light sthapna kary,,,2024-12-28,,,,,232197.98,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,10662,Karnataka,KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),WS/MP18089/2025-2026/155192,Normal/Others,Lighting of public spaces,Installation of street lights in Moranahalli village of Koppal assembly constituency of Koppal Lok Sabha constituency,2024-11-27,2025-07-22,,,,,1500000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,33757,Madhya Pradesh,SATNA,Ganesh Singh,SATNA(DISTRICT COLLECTOR SATNA_IDA),WS/MP642/2025-2026/196591,Normal/Others,Improvement of electricity distribution infrastructure,Gram Bihra no. 2 me Siyasharan Vishwkarma ke pump ke pas Ad. Transfarmar And viddutikaran hetu,2025-05-09,2026-03-30,,,,134000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,16178,Andhra Pradesh,AMALAPURAM(SC),GM Harish Balayogi,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),WS/MP18001/2024-2025/164721,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing WBM Road near R and B Road towards Serella Reddy house in Pallamambika Nagara at Vanapallli Village,2025-01-10,2025-01-25,,,,,500000.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,4170,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),WS/MP021/2025-2026/197138,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-08-24,,,,,17384.0,,,,Payment Success,Jugdish singh,,,
Works Completed,Works Completed.xlsx,13876,Himachal Pradesh,KANGRA,RAJEEV BHARDWAJ,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),WS/MP18069/2025-2026/218989,Normal/Others,Lighting of public spaces,Installation of 6 Solar lights (18 MW) at various Public places Bari Panchayat ward no 3,,,2026-01-21,,,,,99450.0,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,48714,Maharashtra,SHIRUR,Amol Ramsing Kolhe,PUNE(DISTRICT COLLECTOR PUNE_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of road at Saptashrungi Colony, Talwade, Taluka Haveli, District Pune",2025-07-25,,,,,1000000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,34105,Bihar,ARRAH,SUDAMA PRASAD,BHOJPUR(DISTRICT PLANNING OFFICER BHOJPUR ARRAH_IDA),WS/MP18030/2025-2026/199749,Normal/Others,Street lights,At Janki Bazaar,2025-05-16,2025-12-02,,,,,500000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,90930,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),WS/MP814/2026-2027/290941,Normal/Others,Lighting of public spaces,chamad mandir ke paas highmask light PCCD dwara lgwae,2026-07-01,2026-08-01,,,,281100.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,12904,Meghalaya,SHILLONG,ANDREW J. SYNGKON,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",WS/MP18137/2026-2027/158691,Normal/Others,Providing supply pipelines for drinking water,Financial assiatance for Construction of Water Tank and supply of pipelines by Dorbar Shnong Madan and Riat Laban,2025-01-05,2026-05-19,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,98520,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",ER to Karimnagar Kamareddy Road at 14/6 with  C.C Road in Karimnagar Dist.,2026-08-06,,,,,1600000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,28602,Uttar Pradesh,JHANSI,Anurag Sharma,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),WS/MP468/2025-2026/186299,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",200 mtr CC-Apex and nali construction from poora birdha range chauki towards Sahariya Basti in village Birdha Block Talbehat.,2025-03-25,2025-04-16,,,,954601.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,62905,Uttar Pradesh,RAMPUR,MOHIBBULLAH,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),WS/MP18235/2025-2026/254510,Normal/Others,Lighting of public spaces,HIGH MAST LIGHT WITH FOUR LED RECOMMENDED IN MY CONSTITUENCY RAMPUR BY IA UPSIC MORADABAD(VILL. Parchai KE QABRISTAN MAI ),2026-01-05,2026-02-10,,,,,174129.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,3096,Maharashtra,PALGHAR(ST),DR. HEMANT VISHNU SAVARA,PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA),WS/MP18128/2026-2027/217789,,Installation of fixed garden gym equipment,,,,,2026-08-17,,,,,994243.0,,,,Payment Success,JAY SHREE KRUSHNA MAJUR KAMGAR SANSTHA,,,
Works Sanctioned,Works Sanctioned.xlsx,70780,Uttar Pradesh,PRATAPGARH,DR. S P SINGH,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),WS/MP18234/2026-2027/271745,Normal/Others,Installing community drinking water plants,Th. Shyamsundar I.C gajariya Patti,2026-03-02,2026-05-20,,,,,80400.0,,,,,Work partially Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,23886,Uttar Pradesh,BAGHPAT,DR RAJKUMAR SANGWAN,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),WS/MP18270/2025-2026/169409,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-07-06,,,,,84549.0,,,,Payment Success,LUXMI BUILDERS,,,
Works Sanctioned,Works Sanctioned.xlsx,25167,Jharkhand,DUMKA(ST),NALIN SOREN,JAMTARA(Deputy Commissioner Jamtara_IDA),WS/MP18322/2025-2026/183094,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road in Village- Bankudih, Panchayat- Bankudih in front of Sundarpahari",2025-03-18,2025-07-16,,,,,300000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,54183,Madhya Pradesh,TIKAMGARH(SC),Virendra Kumar,CHHATARPUR(District Collector Chhatarpur_IDA),WS/MP638/2026-2027/236411,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Muktidham Nirman,2025-09-22,2026-04-07,,,,,207638.0,,,,,Vendor Identification,,,,,
Works Sanctioned,Works Sanctioned.xlsx,28455,Uttar Pradesh,AMBEDKAR NAGAR,LALJI VERMA,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),WS/MP18199/2025-2026/188097,Normal/Others,Street lights,GRAM SEMARE MADARSA SCHOOL KE PASS CHAURAHA PAR SOLAR STREET LIGHT,2025-03-30,2025-06-20,,,,,20900.0,,,,,Work partially Completed,,,,,
Works Sanctioned,Works Sanctioned.xlsx,77400,Madhya Pradesh,BETUL(ST),Durga Das Uikey,BETUL(DISTRICT COLLECTOR BETUL_IDA),WS/MP444/2026-2027/290767,Normal/Others,Lighting of public spaces,Hi mask light in panchayet,2026-06-30,2026-08-24,,,,,327000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,41311,Delhi,EAST DELHI,Harsh Malhotra,EAST(COMMISSIONER EAST),WS/MP18396/2025-2026/200882,,"Providing sports equipment, except consumable items",,,,,2026-04-06,,,,,620389.0,,,,Payment Success,KHALSA EXPORTS PRIVATE LIMITED,,,
Works Completed,Works Completed.xlsx,1508,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),WS/MP18019/2024-2025/137596,Repair and Renovation,Construction of community centers and community halls,"Improvement of open stage at Govt. Boys Higher Secondary playground, Diphu",,,2024-12-23,,,,,499190.0,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,68661,Gujarat,MAHESANA,HARIBHAI PATEL,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),WS/MP18054/2026-2027/255367,Normal/Others,Construction of common work sheds/ common covered sitting area,Construction of common Work shed in front of  Nilkanth Wadi (dalit samaj) managed by Surpura Gram Panchayat,2025-12-31,2026-07-09,,,,450000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,102213,Uttar Pradesh,BAREILLY,CHHATRA PAL SINGH GANGWAR,BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA),,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,SHAMSHAN SHED AT VILLAGES,2026-08-22,,,,,351800.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,13536,Rajasthan,KARAULI-DHOLPUR(SC),BHAJAN LAL JATAV,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),WS/MP18168/2025-2026/260580,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-25,,,,,686420.0,,,,Payment Success,aman interprises,,,
Works Recommended,Works Recommended (1).xlsx,86226,Bihar,BEGUSARAI,Giriraj Singh,BEGUSARAI(DISTRICT PLANNING OFFICER BEGUSARAI_IDA),,Normal/Others,Construction of community centers and community halls,"Community Hall in Ward No. 06, Dhusaha, Jokia",2026-05-25,,,,,1400000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,42293,Uttar Pradesh,KHERI,UTKARSH VERMA MADHUR,KHERI(DISTRICT MAGISTRAE KHERI_IDA),WS/MP18226/2025-2026/252557,,Lighting of public spaces,,,,,2026-05-27,,,,,49397.0,,,,Payment Success,Shiv kumar thekedar,,,
Works Sanctioned,Works Sanctioned.xlsx,51534,Uttar Pradesh,HAMIRPUR_UP,AJENDRA SINGH LODHI,BANDA(DISTRICT MAGISTRATE BANDA_IDA),WS/MP18219/2025-2026/231975,Repair and Renovation,"Construction of roads, link roads, pathways or any other road with or without drainage system",Saimari me main road PWD se Sattideen Gupta ke darwaje tak,2025-09-07,2025-12-02,,,,,600000.0,,,,,Work partially Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,12145,Karnataka,CHIKBALLAPUR,DR.K.SUDHAKAR,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),WS/MP18081/2025-2026/157224,Normal/Others,Installing community drinking water plants,Installing community drinking water plants at Mailanahalli Sulur (H) Banavadi GP,2024-12-12,2025-10-10,,,,800000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,52088,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),WS/MP478/2025-2026/243920,,Street lights,,,,,2026-04-29,,,,,192000.0,,,,Payment Success,Masti ram,,,
Works Recommended,Works Recommended (1).xlsx,5446,Uttar Pradesh,GHAZIPUR,AFZAL ANSARI,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),WS/MP18390/2024-2025/146107,Normal/Others,Lighting of public spaces,"Installation of High Mask Light at: 1)Village Basant Patti, At Inter College Karanda West Side Trimuhani 2)Village Kataria, Light on Ambedkar Chowk 3)Village Dihwal Khamanpur, Outside the Masjid 4)Village Bakuliapur at Badrichand Pokhra, Aasmani chak 5)Gorabazar, inside Nehru Stadium 6)Village Sabua at Ambedkar Park",2024-10-08,2025-03-18,,,,891772.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,60926,West Bengal,HOOGHLY,RACHNA BANERJEE,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),WS/MP18353/2025-2026/242135,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Concrete Road.,2025-10-14,2025-12-24,,,,249979.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,21003,Punjab,FATEHGARH SAHIB(SC),Shri Amar Singh,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),WS/MP380/2025-2026/209175,,Providing supply pipelines for drinking water,,,,,2026-03-19,,,,,49416.0,,,,Payment Success,Tatla Departmental Store,,,
Works Recommended,Works Recommended (1).xlsx,32683,Andhra Pradesh,KURNOOL,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),WS/MP18011/2025-2026/194389,Normal/Others,Construction of rooms and halls in school and colleges,"Additional Amenities to Boys Hostel, Ternekal, Devanakonda Mandal, Alur Constituency",2025-04-25,2025-05-23,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,14638,Uttar Pradesh,MEERUT,ARUN GOVIL,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),WS/MP18229/2025-2026/162084,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",??? ????? ????? ?????? ?? ?????? ???? ??? ?? ??? ????? ????? ?? ??? ?? ??????????? ??? ?? ???? ?????? ???? ??????? ?????,2024-12-28,2025-05-05,,,,,803015.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,50463,Bihar,UJJARPUR,Nityanand Rai,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),WS/MP883/2025-2026/229879,Normal/Others,Installing community drinking water plants,PRAKHAND UJIYARPUR PANCHAYAT VIRNAMATULA KE UTKRAMIT HIGH SCHOOL  SUPAUL VARD NO.08 ME SAMUDAYIK PEYJAL SANYANTRO WATER ATM RO UV CAPICITY 250 LPH WATER CHILLER WITH 500 LITER SS TANK KA ADHISHTHAPAN,2025-08-28,2026-03-20,,,,,650000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,3460,Madhya Pradesh,MORENA,SHIVMANGAL SINGH TOMAR,SHEOPUR(District Collector Sheopur_IDA),WS/MP18106/2024-2025/142125,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","gram panchayat dehari, janpad panchayat vijaypur, gram ladar mai aadivasi basti mai",2024-09-26,2024-10-08,,,,,800000.0,,,,,Work Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,8974,Rajasthan,AJMER,Bhagirath Chaudhary,AJMER(DISTRICT COLLECTOR AJMER_IDA),WS/MP719/2025-2026/192609,,Construction of community centers and community halls,,,,,2026-04-08,,,,,695037.0,,,,Payment Success,MS TIKAM CHAND KUMAWAT CONTRACTOR,,,
Works Sanctioned,Works Sanctioned.xlsx,61238,West Bengal,JADAVPUR,SAYANI GHOSH,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),WS/MP18251/2026-2027/251539,Normal/Others,Street lights,SUPPLY AND INSTALLATION OF 6 NOS ELECTRIC MINIMAST LIGHT WITH 9Mtr HEXAGONAL POLE AND 4 NOS OF 150 WATT LED FLOOD LIGHT UNDER BELEGACHI GP UNDER BARUIPUR PURBA AC IN THE FOLLOWING LOCATIONS,2025-12-21,2026-07-29,,,,,780000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,57876,Madhya Pradesh,TIKAMGARH(SC),Virendra Kumar,CHHATARPUR(District Collector Chhatarpur_IDA),WS/MP638/2025-2026/236620,Normal/Others,Construction of boundary walls of existing public and community buildings,Boundary Wall Nirman,2025-09-22,2025-12-02,,,,300000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,44037,Uttar Pradesh,PHULPUR,PRAVEEN PATEL,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),WS/MP18233/2025-2026/218172,Normal/Others,Construction of shelters for animals,1- Manethu Gaushala me Samrsebale . 2- Manethu Gaushala me Teenshed And Boundri. 3- Bhagipur Pakka Talab ki taraf Sawjanik Sthal par Bondriwall 4-  Bahariya me Interloking Sarak,2025-07-14,2025-08-23,,,,,4433000.0,,,,,Physical Inspection,,,,,
Works Completed,Works Completed.xlsx,7824,Odisha,KALAHANDI,MALVIKA DEVI,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),WS/MP18144/2025-2026/176326,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","CONSTRUCTION OF CC ROAD FROM RAJA HOUSE TO DINABANDHU NAIK HOUSE AT BUDIBAHAL,                                G.P -DEBANSAHEB PADA, WARD NO. 16, BHAWANIPATNA BLOCK.",,,2025-10-29,,,,,300000.0,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,11534,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),WS/MP18228/2025-2026/156317,Normal/Others,Street lights,"1- SUDHIR PAL S/O RAMDULAR, 2- VIRENDRA PRAJAPATI S/O PANNALAL K GHAR K PASS 2 NAG SOLAR LIGHT",2025-01-24,2025-04-16,,,,41888.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,76868,Madhya Pradesh,BHIND(SC),Smt Sandhya Ray,BHIND(DISTRICT COLLECTOR BHIND_IDA),WS/ MP655/2025-2026/201494,,Purchase of mobile water tankers,,,,,2025-12-18,,,,,99802.0,,,,Payment Success,MP STATE AGRO INDUSTRIES DEV CORP LTD,,,
Works Sanctioned,Works Sanctioned.xlsx,20977,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),WS/MP478/2025-2026/176117,Normal/Others,Construction of buildings for community cultural activities,"GRAM JAGDHAR CHAMBA ME AADRSH AYODHOGIK SWAYATA SHAKARITA SAMITI ME TWO ROOM NIRMAN KARYA, ( NIRMAN AGENCY LAGHU SINCHAI VIBHAG NEW TEHRI )",2025-02-17,2025-12-16,,,,,800000.0,,,,,Work Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,4203,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,SHIVPURI(District Collector Shivpuri_IDA),WS/MP18103/2026-2027/288864,,Construction of culverts and bridges,,,,,2026-07-30,,,,,250000.0,,,,Payment Success,GRAM PANCHAYAT GHATAI,,,
Works Completed,Works Completed.xlsx,28071,Tamil Nadu,CHENNAI SOUTH,T Sumathy (A) Thamizhachi Thangapandian,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),WS/MP459/2025-2026/231095,Normal/Others,"Purchase of smart boards, visual display units and projectors","Setting Smart Board for 7 Class Rooms in Chennai Middle School, NS Garden",,,2026-03-02,,,,,1295616.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,87549,Bihar,VALMIKI NAGAR,Sunil Kumar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,govt uhs mahuar,2026-06-14,,,,,100000.0,,,,,,,,,,,
